Structure,extinction_coefficient,C,H,N,O,S,Cl,CH3,SO3,Benzene,C Chain,COOH,N Rings,O Rings,C links
Phenanthrene,69200,14,10,0,0,,,,,,0,,,,
Phenazine,107000,12,8,2,0,,,,,,0,,,,
Phenol,2340,6,6,0,1,,,,,,0,,,,
Phenoxazine,39800,12,9,1,1,,,,,,0,,,,
Phenylacetylene,17600,8,6,0,0,,,,,,0,,,,
Phenylboronic acid,9520,6,7,0,2,,,,,,0,,,,
Phenylhydrazine Hydrochloride,490,6,9,2,0,,,,,,0,,,,
Phenylpropargyl aldehyde,5000,9,6,0,1,,,,,,0,,,,
Pheophorbide a,93000,35,36,4,5,,,,,,0,,,,
Phthalimide,44100,8,5,1,2,,,,,,0,,,,
Piroxicam,13000,15,13,3,4,,,,,,0,,,,
Ponceau S,42000,22,12,4,13,,,,,,0,,,,
p-Phenylenediamine,6920,6,8,2,0,,,,,,0,,,,
p-Quaterphenyl,41000,24,18,0,0,,,,,,0,,,,
p-Quinquephenyl,62500,30,22,0,0,,,,,,0,,,,
Proflavine hydrochloride,53700,13,12,3,0,,,,,,0,,,,
Protoporphyrin IX dimethyl ester,166000,36,38,4,4,,,,,,0,,,,
p-Terphenyl,33800,18,14,0,0,,,,,,0,,,,
Purpurin 18,83200,33,32,4,5,,,,,,0,,,,
p-Xylene,770,8,10,0,0,,,,,,0,,,,
Pyranine,23100,16,7,0,10,,,,,,0,,,,
Pyrene,81700,16,10,0,0,,,,,,0,,,,
Pyridine,1800,5,5,1,0,,,,,,0,,,,
Pyridine N-oxide,14300,5,5,1,1,,,,,,0,,,,
Pyropheophorbide a,105000,33,34,4,3,,,,,,0,,,,
Pyropheophorbide a methyl ester,108000,34,36,4,3,,,,,,0,,,,
Pyrrole,15000,4,5,1,0,,,,,,0,,,,
Pyrrole-2-carboxaldehyde,15600,5,5,1,1,,,,,,0,,,,
Quinine sulfate,5700,40,50,4,8,,,,,,0,,,,
Quinoline,27000,9,7,1,0,,,,,,0,,,,
Quinoline Yellow,22700,18,11,1,2,,,,,,0,,,,
rac-BINAP,9800,44,32,0,0,,,,,,0,,,,
Rhodamine 101 inner salt,95000,32,30,2,3,,,,,,0,,,,
Rhodamine 123,85700,21,17,2,3,,,,,,0,,,,
Rhodamine 6G,116000,28,31,2,3,,,,,,0,,,,
